LONGITUDE,LATITUDE,FLT_PLAN_ID
-72.9,41.23333333,FP_00014
-71.11666667,41.85,FP_00014
-71.0,42.36666667,FP_00014
-95.33333333,29.98333333,FP_00015
-94.65,31.25,FP_00015
-92.18333333,34.68333333,FP_00015
-89.56666667,37.23333333,FP_00015
-86.36666667,39.81666667,FP_00015
-79.26666667,42.48333333,FP_00015
-78.65,42.93333333,FP_00015
-73.8,42.75,FP_00015
-71.03333333,42.45,FP_00015
-70.95,42.26666667,FP_00015
-71.0,42.36666667,FP_00015
-95.33333333,29.98333333,FP_00016
-94.41666667,31.18333333,FP_00016
-92.5,31.25,FP_00016
-88.8,32.38333333,FP_00016
-86.9,33.66666667,FP_00016
-79.1,37.9,FP_00016
-78.15,38.01666667,FP_00016
-76.06666667,39.05,FP_00016
-74.11666667,40.55,FP_00016
-73.76666667,40.63333333,FP_00016
-72.9,41.23333333,FP_00016
-71.11666667,41.85,FP_00016
-71.0,42.36666667,FP_00016
-95.33333333,29.98333333,FP_00017
-93.1,30.13333333,FP_00017
-91.3,30.48333333,FP_00017
-87.56666667,33.23333333,FP_00017
-79.1,37.9,FP_00017
-78.15,38.01666667,FP_00017
-76.06666667,39.05,FP_00017
-74.11666667,40.55,FP_00017
-73.76666667,40.63333333,FP_00017
-72.9,41.23333333,FP_00017
-71.11666667,41.85,FP_00017
-71.0,42.36666667,FP_00017
-95.33333333,29.98333333,FP_00018
-95.96666667,31.11666667,FP_00018
-96.21666667,32.18333333,FP_00018
-96.23333333,33.53333333,FP_00018
-95.78333333,36.2,FP_00018
-94.48333333,38.26666667,FP_00018
-92.6,40.13333333,FP_00018
-90.63333333,41.31666667,FP_00018
-88.31666667,41.55,FP_00018
-86.11666667,42.15,FP_00018
-83.6,42.41666667,FP_00018
-79.11666667,42.18333333,FP_00018
-73.8,42.75,FP_00018
-71.03333333,42.45,FP_00018
-70.95,42.26666667,FP_00018
-71.0,42.36666667,FP_00018
-95.33333333,29.98333333,FP_00019
-90.95,30.11666667,FP_00019
-88.36666667,30.73333333,FP_00019
-81.11666667,37.78333333,FP_00019
